表頭=M|載具名稱|載具號碼|發票日期|商店統編|商店店名|發票號碼|總金額|發票狀態|
明細=D|發票號碼|小計|品項名稱|
D|BD41620567|60|大正紅茶拿鐵(L)|
D|BD41620567|10|微糖/微冰/珍珠/|
M|手機條碼|/FBY9RLQ|20240517|94130478|師園食品有限公司|BN25042539|10|開立|
D|BN25042539|40|甜不辣|
D|BN25042539|70|鹽酥雞|
D|BN25042539|-100|客路100|
M|手機條碼|/FBY9RLQ|20240517|94237730|利芃有限公司|BP01152239|465|開立|
D|BP01152239|180|檸檬糖霜可頌|
D|BP01152239|95|方形巧克力|
D|BP01152239|100|草莓卡士達|
D|BP01152239|90|露比可頌|
M|手機條碼|/FBY9RLQ|20240518|77611508|萊爾富國際股份有限公司第四七二六營業處|AM09568374|30|開立|
D|AM09568374|40|樂法鹼性水600ml|
D|AM09568374|-10|促銷折扣|
M|手機條碼|/FBY9RLQ|20240518|80350529|統一超商股份有限公司台北市第四七九分公司|AQ14525724|84|開立|
D|AQ14525724|25|*統一陽光低糖高纖豆漿400ml(盒)|
D|AQ14525724|59|豪華海鮮雙手卷|
M|手機條碼|/FBY9RLQ|20240518|26279818|貳樓餐飲股份有限公司公館營業所|AZ50763349|2280|開立|
D|AZ50763349|200|200元加價(不可抵低消)|
D|AZ50763349|0|(05S)Zero可樂(Coke Zero)|
D|AZ50763349|390|松露蕈菇奶油細扁麵Truffle Mushroom Creamy Linguine|
D|AZ50763349|0|巴西莓果優格碗 Mixed Berry Yogurt Bowl|
D|AZ50763349|350|巴西莓果優格碗Mixed Berry Yogurt Bowl|
D|AZ50763349|0|橙香法式丹麥 Sunny 舒肥雞 Sous Vide Chicken Danish Brunch|
D|AZ50763349|460|橙香法式丹麥 Sunny 舒肥雞Sous Vide Chicken Danish Brunch|
D|AZ50763349|0|(附餐)新鮮果汁 「含蜂蜜」|
D|AZ50763349|0|(附餐)冰奶茶(Milk Tea I)|
D|AZ50763349|0|歐爸辣唐揚雞泡菜飯 Korean Fried Chicken With Kimchi &amp; Creamy Sauce Rice|
D|AZ50763349|390|歐爸辣唐揚雞泡菜飯Korean Fried Chicken With Kimchi &amp; Creamy Sauce Rice|
D|AZ50763349|0|續Zero可樂|
D|AZ50763349|0|(04S)安妞洋釀辣炸雞(Korean Fried Chicken)|
D|AZ50763349|0|續冰奶茶|
D|AZ50763349|-228|總折扣|
D|AZ50763349|228|服務費|
D|AZ50763349|0|(02S)火腿玉米濃湯(Ham&amp;Corn Chowder)|
D|AZ50763349|0|橙香法式丹麥蕈菇水波洋芋 Mushroom Poached Eggs Danish Brunch|
D|AZ50763349|390|橙香法式丹麥蕈菇水波洋芋Mushroom Poached Eggs Danish Brunch|
D|AZ50763349|0|(附餐)新鮮果汁 「含蜂蜜」|
D|AZ50763349|0|(附餐)Zero可樂(Coke Zero)|
D|AZ50763349|100|(01)歐式麵包盤(Bread Platter)|
D|AZ50763349|0|松露蕈菇奶油細扁麵 Truffle Mushroom Creamy Linguine|
M|手機條碼|/FBY9RLQ|20240519|24561585|焙傳餐廳有限公司|AM81611719|109|開立|
D|AM81611719|60|大蛋捲冰|
D|AM81611719|49|黑百分百購物袋|
M|手機條碼|/FBY9RLQ|20240519|70823892|和德昌股份有限公司台北復興二分公司|AP53069755|78|開立|
D|AP53069755|78|無敵豬滿蛋|
M|手機條碼|/FBY9RLQ|20240519|94018995|雙月好湯股份有限公司|BN23188118|1095|開立|
D|BN23188118|200|阿甘剝皮辣椒雞腿湯|
D|BN23188118|50|仙草雲飲加價購|
D|BN23188118|50|仙草雲飲加價購|
D|BN23188118|50|仙草雲飲加價購|
D|BN23188118|0|要辣椒醬油|
D|BN23188118|200|蛤蜊燉雞腿湯|
D|BN23188118|150|雙月乾蚵|
D|BN23188118|130|紅燒金鮮鱸魚少刺|
D|BN23188118|100|油金滷肉飯|
D|BN23188118|35|雞汁拌飯|
D|BN23188118|40|小白菜|
D|BN23188118|30|甜不辣|
D|BN23188118|60|月亮骨肉|
M|手機條碼|/FBY9RLQ|20240521|51221006|環球購物中心股份有限公司林口第二分公司|AK87496378|1372|開立|
D|AK87496378|1372|餐飲|
M|手機條碼|/FBY9RLQ|20240521|88388631|日藥本舖股份有限公司北投光明門市|BL09028262|652|開立|
D|BL09028262|752|溫太醫石墨烯飛龍掌血精油貼布10入|
D|BL09028262|-100|商品滿額折(攤適用商品)|
M|手機條碼|/FBY9RLQ|20240522|10385264|巧瑋企業社|BH24531135|142|開立|
D|BH24531135|75|加價升級4號餐|
D|BH24531135|0|炸雞塊|
D|BH24531135|19|白桃香馥烏龍|
D|BH24531135|55|藍莓果醬鬆餅|
D|BH24531135|-7|折扣|
M|手機條碼|/FBY9RLQ|20240523|38522269|悠旅生活事業股份有限公司洲子門巿部|AX78205442|165|開立|
D|AX78205442|165|醇濃抹茶那堤V|
D|AX78205442|-165|數夏BAF|
D|AX78205442|165|醇濃抹茶那堤V|
M|手機條碼|/FBY9RLQ|20240523|90284963|富利餐飲股份有限公司台北復興南分公司|BG13552261|157|開立|
D|BG13552261|120|50426松露雞腿堡嚐鮮券|
D|BG13552261|0|松露起司圈雞腿堡k|
D|BG13552261|37|冰檸檬紅茶(中)|
M|手機條碼|/FBY9RLQ|20240523|76440648|哈古西式餐館|BJ91553926|394|開立|
D|BJ91553926|199|義式快炒梅花豬與野菇|
D|BJ91553926|249|西西里燜煮蕃茄豬肩肉|
D|BJ91553926|-54|折扣金額|
M|手機條碼|/FBY9RLQ|20240526|94237730|利芃有限公司|BP01152926|90|開立|
D|BP01152926|90|檸檬糖霜可頌|
M|手機條碼|/FBY9RLQ|20240527|27745186|悠旅生活事業股份有限公司台北市第五十八分公司|AX84543716|165|開立|
D|AX84543716|165|摩卡V杯|
D|AX84543716|-165|數夏BAF|
D|AX84543716|165|摩卡V杯|
M|手機條碼|/FBY9RLQ|20240528|94042088|全聯實業股份有限公司內湖舊宗分公司|AC99736985|253|開立|
D|AC99736985|56|VONO起司湯|
D|AC99736985|56|VONO馬鈴薯湯|
D|AC99736985|298|麥提莎金脆焦糖|
D|AC99736985|-157|折讓|
M|手機條碼|/FBY9RLQ|20240528|90880370|宜家家居股份有限公司內湖分公司|AF30304179|285|開立|
D|AF30304179|250|CURRY ROASTED HALF CHICKEN|
D|AF30304179|35|PEAR FRUITDRINK 250ML|
M|手機條碼|/FBY9RLQ|20240528|90880370|宜家家居股份有限公司內湖分公司|AF30355778|59|開立|
D|AF30355778|59|YLLEVAD frame 21x30 white AP|
M|手機條碼|/FBY9RLQ|20240528|90880370|宜家家居股份有限公司內湖分公司|AF30380570|677|開立|
D|AF30380570|79|PARKLA stor case 55x49x19 AP|
D|AF30380570|149|HIMLEAN hand towel 40x70 dark green/melange AP|
D|AF30380570|449|HIMLEAN bath towel 70x140 dark grey/melange AP|
M|手機條碼|/FBY9RLQ|20240528|76440648|哈古西式餐館|BJ91554087|193|開立|
D|BJ91554087|219|純手工爐烤蔬菜雞腿捲|
D|BJ91554087|-26|折扣金額|
M|手機條碼|/FBY9RLQ|20240531|27745186|悠旅生活事業股份有限公司台北市第五十八分公司|AX84544565|185|開立|
D|AX84544565|185|摩卡可可碎片V杯|
D|AX84544565|-185|數夏指BAF|
D|AX84544565|185|摩卡可可碎片V杯|
M|手機條碼|/FBY9RLQ|20240531|28716168|悠旅生活事業股份有限公司台北市第七十三分公司|AX85349177|140|開立|
D|AX85349177|140|棉花糖巧克力餅乾|
M|手機條碼|/FBY9RLQ|20240601|16082230|和德昌股份有限公司中和興南分公司|AP46985333|69|開立|
D|AP46985333|36|六塊雞_69|
D|AP46985333|33|C零卡可_小|
M|手機條碼|/FBY9RLQ|20240601|16097091|悠旅生活事業股份有限公司|AX76500284|165|開立|
D|AX76500284|165|冰摩卡|
D|AX76500284|165|冰摩卡|
D|AX76500284|-165|星級回饋BAF|
